,n,token,lemma,pos
0,1,Κύρου,Κῦρος,n-s---mg-
1,2,Ἀναβάσεως,,n-s---mg-
2,3,Α,,r--------
3,1,Δαρείου,Δαρεῖος,n-s---mg-
4,2,καὶ,καί,d--------
5,3,Παρυσάτιδος,,n-s---mg-
6,4,γίγνονται,γίγνομαι,v3ppie---
7,5,παῖδες,παῖς,n-p---mn-
8,6,δύο,γε,m--------
9,7,",",",",u--------
10,8,πρεσβύτερος,πρέσβυς,a-s---mn-
11,9,μὲν,μέν,g--------
12,10,Ἀρταξέρξης,Ἀρταξέρξης,n-s---mn-
13,11,",",",",u--------
14,12,νεώτερος,νεώτερος,a-s---mn-
15,13,δὲ,δέ,g--------
16,14,Κῦρος,Κῦρος,n-s---mn-
17,15,·,·,u--------
18,16,ἐπεὶ,ἐπεί,c--------
19,17,δὲ,δέ,g--------
20,18,ἠσθένει,,v3spia---
21,19,Δαρεῖος,Δαρεῖος,n-s---mn-
22,20,καὶ,καί,c--------
23,21,ὑπώπτευε,ὑποπτεύω,v3siia---
24,22,τελευτὴν,τελευτή,n-s---fa-
25,23,τοῦ,ὁ,l-s---mg-
26,24,βίου,βίος,n-s---mg-
27,25,",",",",u--------
28,26,ἐβούλετο,βούλομαι,v3siie---
29,27,τὼ,,l-d---ma-
30,28,παῖδε,παῖς,n-d---ma-
31,29,ἀμφοτέρω,ἀμφότερος,a-d---ma-
32,30,παρεῖναι,παρίημι,v--ana---
33,31,.,.,u--------
34,1,ὁ,ὁ,l-s---mn-
35,2,μὲν,μέν,g--------
36,3,οὖν,οὖν,g--------
37,4,πρεσβύτερος,πρέσβυς,a-s---mn-
38,5,παρὼν,πάρειμι,v-sppamn-
39,6,ἐτύγχανε,τυγχάνω,v3siia---
40,7,·,·,u--------
41,8,Κῦρον,Κῦρος,n-s---ma-
42,9,δὲ,δέ,g--------
43,10,μεταπέμπεται,μεταπέμπω,v3spie---
44,11,ἀπὸ,ἀπό,r--------
45,12,τῆς,ὁ,l-s---fg-
46,13,ἀρχῆς,ἀρχή,n-s---fg-
47,14,ἧς,ὅς2,p-s---fg-
48,15,αὐτὸν,αὐτός,a-s---ma-
49,16,σατράπην,σατράπης,n-s---ma-
50,17,ἐποίησε,ποιέω,v3saia---
51,18,",",",",u--------
52,19,καὶ,καί,d--------
53,20,στρατηγὸν,στρατηγός,n-s---ma-
54,21,δὲ,δέ,g--------
55,22,αὐτὸν,αὐτός,a-s---ma-
56,23,ἀπέδειξε,ἀποδείκνυμι,v3saia---
57,24,πάντων,πᾶς,a-p---ng-
58,25,ὅσοι,ὅσος,a-p---mn-
59,26,ἐς,εἰς,r--------
60,27,Καστωλοῦ,Καστωλός,n-s---mg-
61,28,πεδίον,πεδίον,n-s---na-
62,29,ἁθροίζονται,ἀθροίζω,v3ppie---
63,30,.,.,u--------
