Checking Google Chrome installation....

Google Chrome version: Google Chrome 115.0.5790.98 


Getting lemmas for text/corpus/aeschylus_i.csv file: 1 | 1

token = ἀρθέντʼ   lemma = ἀραρίσκω

token = προστομίων   lemma = προστόμιον

token = λεπτοψαμάθων   lemma = λεπτοψάμαθος

token = Δίαν   lemma = Δῖος

token = λιποῦσαι   lemma = λείπω

token = ἐφʼ   lemma = ἐπί

token = ἀλλʼ   lemma = ἀλλά

token = ʼξʼονοταζόμεναι   lemma = nan

token = κύδιστʼ   lemma = κύδιστος

token = κῦμʼ   lemma = κῦμα

token = βοὸς   lemma = βοῦς

token = εὐχόμενον   lemma = εὔχομαι

token = τίνʼ   lemma = τίνω

token = ἀφικοίμεθα   lemma = ἀφικνέομαι

token = τῆ   lemma = τῆ

token = πόντονδʼ   lemma = πόντος

token = τʼ   lemma = σύ

token = τʼ   lemma = σύ

token = τήνδʼ   lemma = ὅδε

token = Χορός   lemma = χορός

token = ὑπερ   lemma = nan

token = τιμάορʼ   lemma = τιμωρός

token = ἶνίν   lemma = ἶνις

token = τʼ   lemma = σύ

token = βοὸς   lemma = βοῦς

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = ὅντʼ   lemma = ὅστε

token = Χορός   lemma = χορός

token = τᾶς   lemma = ὁ

token = τʼ   lemma = σύ

token = Χορός   lemma = χορός

token = ἅτʼ   lemma = ἅτε

token = παιδὸς   lemma = παῖς

token = ὤλετο   lemma = ὄλλυμι

token = δυσμάτορος   lemma = δυσμήτωρ

token = Χορός   lemma = χορός

token = ἐγὼ   lemma = ἐγώ

token = φιλόδυρ   lemma = nan

token = τος   lemma = nan

token = τὰν   lemma = ὁ

token = ἀνθεμίζομαι   lemma = ἀνθεμίζομαι

token = Χορός   lemma = χορός

token = θεοὶ   lemma = θεός

token = πέλοιτʼ   lemma = πέλω

token = Χορός   lemma = χορός

token = Χορός   lemma = χορός

token = οὐδʼ   lemma = οὐδέ

token = Χορός   lemma = χορός

token = ἥμενος   lemma = ἧμαι

token = ἐφʼ   lemma = ἐπί

token = Χορός   lemma = χορός

token = ἰδέσθω   lemma = ὁράω

token = πυθμὴν   lemma = πυθμήν

token = μὸν   lemma = nan

token = μεταγνούς   lemma = μεταγιγνώσκω

token = Χορός   lemma = χορός

token = θρεομένα   lemma = θρέομαι

token = θρεομένη   lemma = θρέομαι

token = με   lemma = ἐγώ

token = Χορός   lemma = χορός

token = Σιδονία   lemma = Σιδόνιος

token = Χορός   lemma = χορός

token = ἐπίδρομʼ   lemma = ἐπίδρομος

token = κῦμʼ   lemma = κῦμα

token = Χορός   lemma = χορός

token = Χορός   lemma = χορός

token = μʼ   lemma = ἐγώ

token = μοι   lemma = ἐγώ

token = Χορός   lemma = χορός

token = Χορός   lemma = χορός

token = μʼ   lemma = ἐγώ

token = σέμνʼ   lemma = σεμνός

token = Χορός   lemma = χορός

token = Χορός   lemma = χορός

token = Ζῆνα   lemma = Ζεύς

token = Χορός   lemma = χορός

token = Ζήν   lemma = Ζεύς

token = Χορός   lemma = χορός

token = τότʼ   lemma = τότε

token = βοὸς   lemma = βοῦς

token = παῖδʼ   lemma = παῖς

token = ἀτιμάσας   lemma = ἀτιμάζω

token = αὐ   lemma = nan

token = τός   lemma = nan

token = Χορός   lemma = χορός

token = Ζήν   lemma = Ζεύς

token = ἰῶ   lemma = ἰάομαι

token = δε   lemma = nan

token = τἄμʼ   lemma = ἐγώ

token = δελτουμένας   lemma = δελτόομαι

token = τʼ   lemma = σύ

token = ἡμᾶς   lemma = ἡμεῖς

token = πεπυσμένοι   lemma = πυνθάνομαι

token = ἀλλʼ   lemma = ἀλλά

token = τόνδʼ   lemma = ὅδε

token = ἀλλʼ   lemma = ἀλλά

token = ἱκετηρίας   lemma = ἱκετηρία

token = ἁγάλματʼ   lemma = ἄγαλμα

token = ζαχρεῖʼ   lemma = ζαχρεῖος

token = ἀμείβεσθʼ   lemma = ἀμείβω

token = τάσδʼ   lemma = ὅδε

token = ἑπέσθω   lemma = ἕπομαι

token = μηδʼ   lemma = μηδέ

token = κάρτʼ   lemma = κάρτα

token = ἴδοιτο   lemma = ὁράω

token = θέλοιμʼ   lemma = ἐθέλω

token = φυγάδʼ   lemma = φυγάς

token = ἀπʼ   lemma = ἀπό

token = τίνʼ   lemma = τίνω

token = ἀλλʼ   lemma = ἀλλά

token = τʼ   lemma = σύ

token = ὅδʼ   lemma = ὅδε

token = σέβεσθʼ   lemma = σέβομαι

token = ἁγνὸς   lemma = ἁγνός

token = γένοιτʼ   lemma = γίγνομαι

token = τἀπλακήμαθʼ   lemma = ἀμπλάκημα

token = τόνδε   lemma = ὅδε

token = ὑμῖν   lemma = ὑμεῖς

token = τόνδʼ   lemma = ὅδε

token = Ἀργολὶς   lemma = Ἀργολίς

token = ἐσθὴς   lemma = ἐσθής

token = οὐδʼ   lemma = οὐδέ

token = πόλλʼ   lemma = πολύς

token = ἔτʼ   lemma = ἔτης

token = ἐγὼ   lemma = ἐγώ

token = σὲ   lemma = σός

token = ταῦτʼ   lemma = οὗτος

token = λέγʼ   lemma = λέγω

token = ἐμοί   lemma = ἐγώ

token = ἐγὼ   lemma = ἐγώ

token = Πίνδου   lemma = Πίνδος

token = χρανθεῖσʼ   lemma = χραίνω

token = ποτʼ   lemma = ποτε

token = ηὕρετʼ   lemma = εὑρίσκω

token = τἀπʼ   lemma = ἀπό

token = τʼ   lemma = σύ

token = θʼ   lemma = σύ

token = ταῦτʼ   lemma = οὗτος

token = μυθεῖσθʼ   lemma = μυθέομαι

token = Λιβυστικαῖς   lemma = Λιβυστικός

token = ἐμφερέστεραι   lemma = ἐμφερής

token = τʼ   lemma = σύ

token = ἀρσένων   lemma = ἄρσην

token = τʼ   lemma = σύ

token = παρʼ   lemma = παρά

token = ἀστυγειτονουμένας   lemma = ἀστυγειτονέομαι

token = τʼ   lemma = σύ

token = γένεθλον   lemma = γένεθλον

token = τʼ   lemma = σύ

token = Ζῆνα   lemma = Ζεύς

token = γʼ   lemma = γε

token = θεός   lemma = θεός

token = ἐπʼ   lemma = ἐπί

token = ταῦτʼ   lemma = οὗτος

token = βοΐ   lemma = βοῦς

token = νιν   lemma = νιν

token = ταῦτʼ   lemma = οὗτος

token = ἐμοί   lemma = ἐγώ

token = Μέμφιν   lemma = Μέμφις

token = ἵκετο   lemma = ἱκνέομαι

token = γʼ   lemma = γε

token = Δῖος   lemma = Δῖος

token = τίνʼ   lemma = τίνω

token = ἔτʼ   lemma = ἔτης

token = τοῦδʼ   lemma = ὅδε

token = τοῦτό   lemma = οὗτος

token = μοι   lemma = ἐγώ

token = τοὔνομʼ   lemma = ὄνομα

token = ἁμὸν   lemma = ἁμός

token = μοι   lemma = ἐγώ

token = τίς   lemma = τίς

token = αἰόλʼ   lemma = αἰόλος

token = τήνδʼ   lemma = ὅδε

token = μεταπτοιοῦσαν   lemma = μεταπτοιέω

token = τῶνδʼ   lemma = ὅδε

token = λευκοστεφεῖς   lemma = λευκοστεφής

token = γένωμαι   lemma = γίγνομαι

token = ὠνοῖτο   lemma = ὠνέομαι

token = κεκτημένους   lemma = κτάομαι

token = γʼ   lemma = γε

token = ἐγὼ   lemma = ἐγώ

token = παισὶν   lemma = παῖς

token = γʼ   lemma = γε

token = ἀλλʼ   lemma = ἀλλά

token = γʼ   lemma = γε

token = κοινωνὸς   lemma = κοινωνός

