,line,token,lemma
0,14,Δειπνοσοφιστὴς,
1,24,Λαρήνσιος,
2,36,ἐμπειροτάτους,ἔμπειρος
3,46,οἷς,ὅς
4,48,ἔσθ᾽,
5,49,οὗτινος,ὅστις
6,69,ἀναπτύξεις,
7,80,συγγεγραφότας,συγγράφω
8,96,πλούτους,πλοῦτος
9,101,μεγέθη,μέγεθος
10,105,οὐδ᾽,
11,108,ἀπομνημονεύσαιμι,
12,112,μ᾽,μ᾽
13,113,<ἂν>,
14,116,κατ᾽,
15,118,διεξερχόμενον,
16,135,διασκευὴ,διασκευή
17,151,λογόδειπνον,
18,152,εἰσηγεῖται,
19,157,γινόμενος,γίγνομαι
20,172,ἑπόμενα,ἕπομαι
21,175,βαθμηδὸν,
22,176,ὑπεράλλεται,
23,179,δ᾽,δ᾽
24,184,ἐπιδημήσαντες,ἐπιδημέω
25,185,δειπνοσοφισταὶ,
26,187,Μανσούριος,
27,208,οὐδενὸς,οὐδείς
28,215,ἐζηλωκώς,
29,233,ἰάμβων,ἴαμβος
30,237,οὐδενὸς,οὐδείς
31,243,μετ᾽,
32,258,Μαυρούσιος,Μαυρούσιος
33,260,Ζωίλος,Ζωΐλος
34,262,γραμματικῶν,γραμματικός
35,269,Ποντιανὸς,
36,271,Δημό,
37,272,κριτος,
38,278,ὑπερηκοντικότες,
39,283,Πτολεμαεύς,
40,289,φιλοσόφῳ,φιλόσοφος
41,303,κυνικῶν,κυνικός
42,304,εἷς,εἷς
43,307,Κύνουλκον,
44,316,εἵποντο,ἕπομαι
45,321,ἐκκλησιάζοντι,
46,335,κατ᾽,
47,336,οὐδὲν,οὐδείς
48,337,ἀπολειπομένη,
49,344,ἄλλων,ἄλλος
50,348,Οὐλπιανὸς,
51,350,Τύριος,Τύριος
52,367,περιπάτοις,περίπατος
53,369,βιβλιοπωλείοις,
54,371,βαλανείοις,βαλανεῖον
55,376,κυ,
56,377,ρίου,
57,378,διασημότερον,
58,379,Κειτούκειτος,
59,386,<ἴδιον>,
60,387,μηδενὸς,μηδείς
61,388,ἀποτρώγειν,
62,397,’,
63,408,<εἰ,
64,421,ἐδωδίμου,
65,425,σύαγρος,σύαγρος
66,431,συός,ὗς
67,433,ἰατρῶν,ἰατρός
68,436,Δάφνος,
69,437,Ἐφέσιος,Ἐφέσιος
70,448,Ἀκαδημαικῶν,
71,454,Γαληνός,
72,457,Περγαμηνός,Περγαμηνός
73,460,τοσαῦτ᾽,
74,461,ἐκδέδωκε,ἐκδίδωμι
75,463,φιλόσοφά,
76,478,οὐδενὸς,οὐδείς
77,484,Ῥουφῖνός,
78,487,Νικαεύς,
79,499,κατάλογος,κατάλογος
80,501,στρατιωτικός,
81,507,ʼ,
82,512,δραματουργεῖ,δραματουργέω
83,519,Πλατωνικῷ,
84,528,‘,
85,532,Ἀθήναιε,
86,541,ἐπικληθέντων,
87,542,δειπνοσοφιστῶν,
88,552,παρ᾽,
89,553,ἄλλου,ἄλλος
90,557,διεξῄεισ’,
91,559,‘,
92,568,‘,
93,569,ἆρ᾽,
94,576,ἐπικυλικίων,
95,581,δ᾽,δ᾽
96,582,ἀπομαξαμένοισι,
97,583,θεοὶ,θεός
98,596,ʼἢ,
99,597,παρ᾽,
100,598,ἄλλου,ἄλλος
101,599,τινὸς,τις
102,601,ἀναπυνθάνεσθαι,
103,606,εἰσβάλλει,
104,607,μετ᾽,
105,612,Λαρηνσίου,
106,613,ἔπαινον,ἔπαινος
107,632,εἱστία,ἑστιάω
108,647,οὐδ᾽,
109,655,ἀλλ᾽,
110,657,ἔνι,ἐν
111,661,τινος,τις
112,675,δ᾽,δ᾽
113,684,θυσιῶν,θυσία
114,708,ἐπ᾽,
115,712,φωνῶν,φωνέω
116,716,δ᾽,δ᾽
117,723,νομισθεισῶν,
118,732,Πομπιλίου,Πομπίλιος
119,733,Νουμᾶ,Νουμᾶς
120,735,ἐπιστήμονα,ἐπιστήμων
121,762,<ὁ>,
122,763,κωμῳδιοποιὸς,
123,767,κατασεσιγασμένα,
124,772,ἀφιλοκαλίας,
125,795,τεθαυμασμένους,
126,813,Νικοκράτην,
127,815,Κύπριον,Κύπριος
128,829,<καὶ,
129,830,Θεόφραστον>,Θεόφραστος
130,835,διατηρήσαντα,
131,839,παρ᾽,
132,845,πριάμενος,πρίασθαι
133,861,Ῥόδου,Ῥόδος
134,868,διόπερ,διό
135,879,ʼ,
136,883,Μούσαισι,Μοῦσα
137,889,<τι>,
138,894,—,
139,907,θαμὰ,θαμά
140,912,Θηβαῖον,Θηβαῖος
141,913,μελοποιόν,
142,950,κωμῳδιοποιὸν,
143,955,ʼ,
144,960,εἰσίῃ,εἴσειμι
145,966,Νικοφῶν,
146,978,θυρωρὸς,θυρωρός
147,980,πρῶτόν,πρῶτος
148,987,προσῆλθ᾽,
149,997,μηδεὶς,μηδείς
150,999,μηδέν,μηδείς
151,1021,’,
152,1031,γέρουσι,γέρων
153,1052,Κνίδον,Κνίδος
154,1055,Λακεδαιμονίους,Λακεδαιμόνιος
155,1088,ἐπινίκιον,ἐπινίκιος
156,1105,Λεώφρων,
157,1116,ʼ,
158,1118,δ᾽,δ᾽
159,1120,Ἀκραγαντῖνος,Ἀκραγαντῖνος
