,line,token,lemma
0,7,ὡρμημένους,ὁρμάω
1,9,σὲ,σός
2,34,σε,σύ
3,41,οὐδὲν,οὐδείς
4,45,ἐνεστηκυίαις,ἐνίστημι
5,47,ἀλλ᾽,
6,49,ὧν,ὅς
7,53,γενήσει,γίγνομαι
8,65,δ᾽,δ᾽
9,75,εὐμεταχειριστότερον,εὐμεταχείριστος
10,77,ἀλλ᾽,
11,101,οἷός,οἷος
12,102,τ᾽,τ᾽
13,109,με,ἐγώ
14,110,παρ᾽,
15,114,λεχθησόμενα,λέγω
16,118,ἀλλ᾽,
17,121,ὑμῖν,ὑμεῖς
18,123,τοσαύτας,τοσοῦτος
19,133,ἄλλων,ἄλλος
20,142,ὑμᾶς,ὑμεῖς
21,143,ῥηθείσῃ,λέγω
22,155,ἀφ᾽,
23,161,ἴσασι,οἶδα
24,163,ὑμῖν,ὑμεῖς
25,181,κατασχόντων,κατέχω
26,201,δ᾽,δ᾽
27,224,πόσοις,πόσος
28,225,δ᾽,δ᾽
29,251,ἡγεμὼν,ἡγεμών
30,252,σὺ,σύ
31,255,μετ᾽,
32,273,οὐδεὶς,οὐδείς
33,289,σεμνόν,σεμνός
34,305,τοσοῦτον,τοσοῦτος
35,306,ἐπ᾽,
36,311,ὧν,ὅς
37,315,ἀλλ᾽,
38,324,ἀλλ᾽,
39,328,χύδην,χύδην
40,330,οὐδεὶς,οὐδείς
41,336,ἐγὼ,ἐγώ
42,346,κἀκεῖνο,ἐκεῖνος
43,352,ῥᾷόν,ῥᾴδιος
44,356,γεγενημένων,γίγνομαι
45,366,ἔπειθ᾽,
46,388,δ᾽,δ᾽
47,392,παραινῶσιν,παραινέω
48,397,ἀλλ᾽,
49,408,ἀπεσχόμην,ἀπέχω
50,418,οὐδεὶς,οὐδείς
51,423,ἡγούμενος,ἡγέομαι
52,447,ἀλλ᾽,
53,460,ἐφ᾽,
54,461,οἷσπερ,ὅς
55,462,ἐγὼ,ἐγώ
56,476,δυναμένων,δύναμαι
57,480,πώποτ᾽,
58,489,μηδ᾽,
59,502,οὐδεὶς,οὐδείς
60,516,σφαγῶν,σφαγή
61,521,ὧν,ὅς
62,524,μετειλήφασιν,μεταλαμβάνω
63,529,παραλίαν,παράλιος
64,537,ἐκδεδώκαμεν,ἐκδίδωμι
65,541,βαρβάροις,βάρβαρος
66,552,κοινωνοῦσι,κοινωνέω
67,559,βαρβάρων,βάρβαρος
68,570,περιεωρῶμεν,περιοράω
69,572,οὐδ᾽,
70,584,γιγνομένας,γίγνομαι
71,643,δ᾽,δ᾽
72,652,ὥσθ᾽,
73,668,ἐνίας,ἔνιοι
74,669,δ᾽,δ᾽
75,673,περιφθειρομένας,περιφθείρομαι
76,674,δι᾽,
77,684,γιγνομένων,γίγνομαι
78,691,Ἐλλήνων,
79,695,οὔτ᾽,
80,699,οὐδεὶς,οὐδείς
81,705,σὸς,σός
82,712,ἡμεῖς,ἡμεῖς
83,727,βαρβάρους,βάρβαρος
84,735,ἑνὸς,εἷς
85,745,σὲ,σός
86,746,διαλεγόμενος,διαλέγομαι
87,751,ὑπ᾽,
88,755,εἴθισμαί,ἐθίζω
89,782,ἐμὸν,ἐμός
90,788,δ᾽,δ᾽
91,792,ἄλλοις,ἄλλος
92,796,ἐγκρατέστατος,ἐγκρατής
93,816,οὐδ᾽,
94,819,δυναμένας,δύναμαι
95,854,κινδύνοις,κίνδυνος
