,line,token,lemma
0,7,Σενεκίων,Σενεκίων
1,10,ἱστορικοὶ,ἱστορικός
2,28,ἐπέκεινα,ἐπέκεινα
3,32,θηριώδεισ,
4,35,ἀϊδνὴσ,
5,38,κρύοσ,
6,41,πεπηγός,πήγνυμι
7,44,ἐμοὶ,ἐγώ
8,51,γραφήν,γραφή
9,74,ἐπέκεινα,ἐπέκεινα
10,75,τερατώδη,τερατώδης
11,98,Νομᾶ,Νουμᾶς
12,104,ἐδοκοῦμεν,δοκέω
13,114,χρόνων,χρόνος
14,122,μοι,ἐγώ
15,123,τοιῷδε,τοιόσδε
16,126,κατʼ,κατά
17,127,Αἰσχύλον̓,
18,131,τίνʼ,τίνω
19,148,παραβαλεῖν,παραβάλλω
20,160,ἡμῖν,ἡμεῖς
21,164,μυθῶδες,μυθώδης
22,176,πιθανοῦ,πιθανός
23,177,περιφρονῇ,περιφρονέω
24,194,προσδεχομένων,προσδέχομαι
25,211,ἀνεγγύω,ἀνέγγυος
26,213,σκοτίω,σκότιος
27,223,αἰχμητά,αἰχμητής
28,237,συνετὸν,συνετός
29,280,προσκροῦσαι,προσκρούω
30,302,Ἐρεχθέα,Ἐρεχθεύς
31,306,αὐτόχθονας,αὐτόχθων
32,311,μητρῴῳ,μητρῷος
33,332,ἐκδόμενος,ἐκδίδωμι
34,346,εἷς,εἷς
35,387,ἰδέα,ἰδέα
36,400,Ἔργοις,ἔργον
37,404,μίαν,εἷς
38,453,ἀνελεῖν,ἀναιρέω
39,459,διακελευομένην,διακελεύομαι
40,474,δοκοῦσαν,δοκέω
41,478,Τροιζῆτα,
42,489,ἀσκοῦ,ἀσκέω
43,502,Ἀθηνέων,Ἀθήνη
44,529,συγγέγονε,συγγίγνομαι
45,551,κείμενα,κεῖμαι
46,560,διακελευσάμενος,διακελεύομαι
47,578,ὑφελεῖν,ὑφαιρέω
48,587,μηδενὸς,μηδείς
49,601,Παλλαντίδας,Παλλαντίδαι
50,617,γεγονότεσ̓,
51,644,θεμένου,τίθημι
52,646,Αἰγέως,Αἰγεύς
53,654,ἐπιστάτην,ἐφίστημι
