,line,token,lemma
0,1,Ἀναβάσεως,ἀνάβασις
1,2,Α,ΑΒΓ
2,5,Παρυσάτιδος,Παρύσατις
3,20,ἠσθένει,ἀσθενέω
4,29,τὼ,ὁ
5,69,Τισσαφέρνην,Τισσαφέρνης
6,84,Ξενίαν,Ξενίας
7,98,Τισσαφέρνης,Τισσαφέρνης
8,116,ἀποκτενῶν,ἀποκτείνω
9,155,Παρύσατις,Παρύσατις
10,164,φιλοῦσα,φιλέω
11,182,διατιθεὶς,διατίθημι
12,194,παρʼ,παρά
13,197,βαρβάρων,βάρβαρος
14,231,ὁπόσας,ὁπόσος
15,243,Πελοποννησίους,Πελοποννήσιος
16,270,ἀφειστήκεσαν,ἀφίστημι
17,365,ᾐσθάνετο,αἰσθάνομαι
18,378,οὐδὲν,οὐδείς
19,389,γιγνομένους,γίγνομαι
20,396,Τισσαφέρνους,Τισσαφέρνης
21,408,κατʼ,κατά
22,409,ἀντιπέρας,ἀντιπέρα
23,410,Ἀβύδου,Ἄβυδος
24,417,φυγὰς,φυγάς
25,450,Θρᾳξὶ,Θρᾷξ
26,473,ἑκοῦσαι,ἑκών
27,511,τριῶν,τρεῖς
28,517,περιγενόμενος,περιγίγνομαι
29,530,ἓξ,ἕξ
30,556,τρεφόμενον,τρέφω
31,574,Πισίδας,Πισίδαι
32,575,βουλόμενος,βούλομαι
33,582,Πισιδῶν,Πισίδαι
34,610,Τισσαφέρνει,Τισσαφέρνης
35,615,Μιλησίων,Μιλήσιος
36,635,Πισίδας,Πισίδαι
37,636,βουλόμενος,βούλομαι
38,702,ἱκανοὶ,ἱκανός
39,758,Ξενίας,Ξενίας
40,773,Πρόξενος,Πρόξενος
41,791,Στυμφάλιος,Στυμφάλιος
42,796,Σωκράτης,Σωκράτης
43,815,πελταστὰς,πελταστής
44,838,Τισσαφέρνης,Τισσαφέρνης
45,850,Πισίδας,Πισίδαι
46,871,Τισσαφέρνους,Τισσαφέρνης
47,893,τρεῖς,τρέω
48,894,παρασάγγας,παρασάγγης
49,895,εἴκοσι,εἴκοσι
50,921,ἕνα,ἕνος
51,922,παρασάγγας,παρασάγγης
52,923,ὀκτὼ,ὀκτώ
53,928,οἰκουμένην,οἰκέω
54,937,ἑπτά,ἑπτά
55,955,Ὀλυνθίους,Ὀλύνθιος
56,960,τρεῖς,τρέω
57,961,παρασάγγας,παρασάγγης
58,962,εἴκοσιν,εἴκοσι
59,973,εὐδαίμονα,εὐδαίμων
60,980,παράδεισος,παράδεισος
61,992,ὁπότε,ὁπότε
62,1025,Κελαινῶν,Κελαιναί
63,1066,εἴκοσι,εἴκοσι
64,1068,πέντε,πέντε
65,1075,Μαρσύαν,Μαρσύας
66,1108,ἡττηθεὶς,ἡσσάομαι
67,1115,ταῦτά,οὗτος
68,1128,τριάκοντα,τριάκοντα
69,1135,φυγὰς,φυγάς
70,1151,Σῶσις,Σῶσις
71,1161,Ἀρκάδας,Ἀρκάς
72,1198,παρασάγγας,παρασάγγης
73,1199,δέκα,δέκα
74,1209,τρεῖς,τρέω
75,1217,Λύκαια,Λύκαια
76,1241,παρασάγγας,παρασάγγης
77,1242,δώδεκα,δυώδεκα
78,1250,ἐσχάτην,ἔσχατος
79,1259,τρεῖς,τρέω
80,1260,παρασάγγας,παρασάγγης
81,1261,τριάκοντα,τριάκοντα
82,1272,πέντε,πέντε
83,1277,ὠφείλετο,ὀφείλω
84,1281,τριῶν,τρεῖς
85,1317,Συεννέσιος,Συέννεσις
86,1346,Κίλισσα,Κίλιξ
87,1354,Ἀσπενδίους,Ἀσπένδιος
88,1362,Κιλίσσῃ,Κίλιξ
89,1369,παρασάγγας,παρασάγγης
90,1370,δέκα,δέκα
91,1390,ἐφʼ,ἐπί
92,1405,παρασάγγας,παρασάγγης
93,1406,δέκα,δέκα
94,1416,τρεῖς,τρέω
95,1422,Κίλισσα,Κίλιξ
96,1429,βουλόμενος,βούλομαι
97,1441,βαρβάρων,βάρβαρος
98,1473,Μένων,Μένων
99,1501,βαρβάρους,βάρβαρος
100,1523,Κίλισσα,Κίλιξ
101,1524,ἐφʼ,ἐπί
102,1540,ἐκκεκαλυμμένας,ἐκκαλύπτω
103,1558,ἑρμηνέα,ἑρμηνεύς
104,1610,βαρβάρων,βάρβαρος
105,1617,Κίλισσα,Κίλιξ
106,1629,ὤνια,ὤνιος
107,1644,Κίλισσα,Κίλιξ
108,1664,βαρβάρους,βάρβαρος
109,1671,τρεῖς,τρέω
110,1672,παρασάγγας,παρασάγγης
111,1673,εἴκοσιν,εἴκοσι
112,1680,ἐσχάτην,ἔσχατος
113,1684,τρεῖς,τρέω
114,1694,παρασάγγας,παρασάγγης
115,1695,τριάκοντα,
116,1711,Κίλισσαν,Κίλιξ
117,1725,Μένων,Μένων
118,1739,τέτταρας,τέσσαρες
119,1740,παρασάγγας,παρασάγγης
120,1741,εἴκοσι,εἴκοσι
121,1743,πέντε,πέντε
122,1752,εὐδαίμονα,εὐδαίμων
123,1757,τρεῖς,τρέω
124,1775,δυνάστην,δυνάστης
125,1777,αἰτιασάμενος,αἰτιάομαι
126,1813,φυλάττων,φυλάσσω
127,1847,εἴσω,εἴσω
128,1860,Ταμὼν,Ταμώς
129,1863,Λακεδαιμονίων,Λακεδαιμόνιος
130,1875,οὐδενὸς,οὐδείς
131,1903,ἀμπέλων,ἄμπελος
132,1910,μελίνην,
133,1940,τέτταρας,τέσσαρες
134,1941,παρασάγγας,παρασάγγης
135,1942,πέντε,πέντε
136,1944,εἴκοσιν,εἴκοσι
137,1946,Ταρσούς,Ταρσός
138,1958,Συεννέσιος,Συέννεσις
139,1971,Κύδνος,Κύδνος
140,1985,Συεννέσιος,Συέννεσις
141,2015,Συεννέσιος,Συέννεσις
142,2057,δυναμένους,δύναμαι
143,2073,ἑκατὸν,ἑκατόν
144,2123,κρείττονι,κρείσσων
145,2148,συνεγένοντο,συγγίγνομαι
146,2169,τίμια,τίμιος
147,2179,ἀκινάκην,ἀκινάκης
