,Unnamed: 0,n,token,lemma,pos
0,0,1,Κύρου,Κῦρος,n-s---mg-
1,1,2,Ἀναβάσεως,ἀνάβασις,n-s---mg-
2,2,3,Α,ΑΒΓ,r--------
3,3,1,Δαρείου,Δαρεῖος,n-s---mg-
4,4,2,καὶ,καί,d--------
5,5,3,Παρυσάτιδος,Παρύσατις,n-s---mg-
6,6,4,γίγνονται,γίγνομαι,v3ppie---
7,7,5,παῖδες,παῖς,n-p---mn-
8,8,6,δύο,γε,m--------
9,9,7,",",",",u--------
10,10,8,πρεσβύτερος,πρέσβυς,a-s---mn-
11,11,9,μὲν,μέν,g--------
12,12,10,Ἀρταξέρξης,Ἀρταξέρξης,n-s---mn-
13,13,11,",",",",u--------
14,14,12,νεώτερος,νεώτερος,a-s---mn-
15,15,13,δὲ,δέ,g--------
16,16,14,Κῦρος,Κῦρος,n-s---mn-
17,17,15,·,·,u--------
18,18,16,ἐπεὶ,ἐπεί,c--------
19,19,17,δὲ,δέ,g--------
20,20,18,ἠσθένει,ἀσθενέω,v3spia---
21,21,19,Δαρεῖος,Δαρεῖος,n-s---mn-
22,22,20,καὶ,καί,c--------
23,23,21,ὑπώπτευε,ὑποπτεύω,v3siia---
24,24,22,τελευτὴν,τελευτή,n-s---fa-
25,25,23,τοῦ,ὁ,l-s---mg-
26,26,24,βίου,βίος,n-s---mg-
27,27,25,",",",",u--------
28,28,26,ἐβούλετο,βούλομαι,v3siie---
29,29,27,τὼ,τῷ,l-d---ma-
30,30,28,παῖδε,παῖς,n-d---ma-
31,31,29,ἀμφοτέρω,ἀμφότερος,a-d---ma-
32,32,30,παρεῖναι,παρίημι,v--ana---
33,33,31,.,.,u--------
34,34,1,ὁ,ὁ,l-s---mn-
35,35,2,μὲν,μέν,g--------
36,36,3,οὖν,οὖν,g--------
37,37,4,πρεσβύτερος,πρέσβυς,a-s---mn-
38,38,5,παρὼν,πάρειμι,v-sppamn-
39,39,6,ἐτύγχανε,τυγχάνω,v3siia---
40,40,7,·,·,u--------
41,41,8,Κῦρον,Κῦρος,n-s---ma-
42,42,9,δὲ,δέ,g--------
43,43,10,μεταπέμπεται,μεταπέμπω,v3spie---
44,44,11,ἀπὸ,ἀπό,r--------
45,45,12,τῆς,ὁ,l-s---fg-
46,46,13,ἀρχῆς,ἀρχή,n-s---fg-
47,47,14,ἧς,ὅς2,p-s---fg-
48,48,15,αὐτὸν,αὐτός,a-s---ma-
49,49,16,σατράπην,σατράπης,n-s---ma-
50,50,17,ἐποίησε,ποιέω,v3saia---
51,51,18,",",",",u--------
52,52,19,καὶ,καί,d--------
53,53,20,στρατηγὸν,στρατηγός,n-s---ma-
54,54,21,δὲ,δέ,g--------
55,55,22,αὐτὸν,αὐτός,a-s---ma-
56,56,23,ἀπέδειξε,ἀποδείκνυμι,v3saia---
57,57,24,πάντων,πᾶς,a-p---ng-
58,58,25,ὅσοι,ὅσος,a-p---mn-
59,59,26,ἐς,εἰς,r--------
60,60,27,Καστωλοῦ,Καστωλός,n-s---mg-
61,61,28,πεδίον,πεδίον,n-s---na-
62,62,29,ἁθροίζονται,ἀθροίζω,v3ppie---
63,63,30,.,.,u--------
64,64,31,ἀναβαίνει,ἀναβαίνω,v3spia---
65,65,32,οὖν,οὖν,g--------
66,66,33,ὁ,ὁ,l-s---mn-
67,67,34,Κῦρος,Κῦρος,n-s---mn-
68,68,35,λαβὼν,λαμβάνω,v-sapamn-
69,69,36,Τισσαφέρνην,Τισσαφέρνης,n-s---fa-
70,70,37,ὡς,ὡς,c--------
71,71,38,φίλον,φίλος,a-s---ma-
72,72,39,",",",",u--------
73,73,40,καὶ,καί,d--------
74,74,41,τῶν,ὁ,l-p---mg-
75,75,42,Ἑλλήνων,Ἕλλην,n-p---mg-
76,76,43,ἔχων,ἔχω,v-sppamn-
77,77,44,ὁπλίτας,ὁπλίτης,n-p---ma-
78,78,45,ἀνέβη,ἀναβαίνω,v3saia---
79,79,46,τριακοσίους,τριακόσιοι,a-p---ma-
80,80,47,",",",",u--------
81,81,48,ἄρχοντα,ἄρχω,v-sppama-
82,82,49,δὲ,δέ,g--------
83,83,50,αὐτῶν,αὐτός,p-p---mg-
84,84,51,Ξενίαν,Ξενίας,n-s---fa-
85,85,52,Παρράσιον,Παρράσιος,n-s---ma-
86,86,53,.,.,u--------
87,87,1,ἐπεὶ,ἐπεί,c--------
88,88,2,δὲ,δέ,g--------
89,89,3,ἐτελεύτησε,τελευτάω,v3saia---
90,90,4,Δαρεῖος,Δαρεῖος,n-s---mn-
91,91,5,καὶ,καί,d--------
92,92,6,κατέστη,καθίστημι,v3saia---
93,93,7,εἰς,εἰς,r--------
94,94,8,τὴν,ὁ,l-s---fa-
95,95,9,βασιλείαν,βασιλεία,n-s---fa-
96,96,10,Ἀρταξέρξης,Ἀρταξέρξης,n-s---mn-
97,97,11,",",",",u--------
98,98,12,Τισσαφέρνης,Τισσαφέρνης,n-s---fg-
99,99,13,διαβάλλει,διαβάλλω,v3spia---
100,100,14,τὸν,ὁ,l-s---ma-
101,101,15,Κῦρον,Κῦρος,n-s---ma-
102,102,16,πρὸς,πρός,r--------
103,103,17,τὸν,ὁ,l-s---ma-
104,104,18,ἀδελφὸν,ἀδελφός,n-s---ma-
105,105,19,ὡς,ὡς,c--------
106,106,20,ἐπιβουλεύοι,ἐπιβουλεύω,v3spoa---
107,107,21,αὐτῷ,αὐτός,p-s---md-
108,108,22,.,.,u--------
109,109,23,ὁ,ὁ,l-s---mn-
110,110,24,δὲ,δέ,g--------
111,111,25,πείθεται,πείθω,v3spie---
112,112,26,καὶ,καί,d--------
113,113,27,συλλαμβάνει,συλλαμβάνω,v3spia---
114,114,28,Κῦρον,Κῦρος,n-s---ma-
