,line,token
0,190,-
1,309,-
2,471,-
3,739,-
4,1040,—
5,1955,-
6,2295,-
7,2397,-
8,2611,—
9,2626,—
10,3153,-
11,3227,-
12,3232,-
13,3279,-
14,3304,-
15,3335,-
16,3583,-
17,3604,-
18,3635,-
19,3656,-
20,3673,-
21,3684,-
22,3715,-
23,3724,-
24,3727,-
25,3763,-
26,3801,-
27,3843,-
28,4194,-
29,4461,-
30,4496,-
31,4507,-
32,4654,-
33,4836,-
34,4972,—
35,5154,—
36,5163,—
37,5950,-
38,5974,-
39,5989,-
40,6191,-
41,6310,-
42,6472,-
43,6740,-
44,7041,—
45,7956,-
46,8296,-
47,8398,-
48,8612,—
49,8627,—
50,9154,-
51,9228,-
52,9233,-
53,9280,-
54,9305,-
55,9336,-
56,9584,-
57,9605,-
58,9636,-
59,9657,-
60,9674,-
61,9685,-
62,9716,-
63,9725,-
64,9728,-
65,9764,-
66,9802,-
67,9844,-
68,10195,-
69,10462,-
70,10497,-
71,10508,-
72,10655,-
73,10837,-
74,10973,—
75,11155,—
76,11164,—
77,11951,-
78,11975,-
79,11990,-
