,line,token,lemma,error_type
0,80,ὅτι,ὅτι2,2
1,159,ἣν,ὅς2,2
2,203,ἠπόρησε,ἀπορέω2,2
3,250,ἧς,ὅς2,2
4,351,ὅτι,ὅτι2,2
5,367,ὅτι,ὅτι2,2
6,417,ὧν,ὅς2,2
7,449,ὧν,ὅς2,2
8,501,ἧς,ὅς2,2
9,532,οὓς,ὅς2,2
10,560,χρωμένοις,χράω2,2
11,608,ἣν,ὅς2,2
12,645,ἃ,ὅς2,2
13,680,ὧν,ὅς2,2
14,711,ὧν,ὅς2,2
15,885,ὅτι,ὅτι2,2
16,913,ὧν,ὅς2,2
17,974,ὧν,ὅς2,2
18,984,ὅτι,ὅτι2,2
19,1118,ὧν,ὅς2,2
20,1133,ἃ,ὅς2,2
21,1240,ὅτι,ὅτι2,2
22,1257,ὅτι,ὅτι2,2
23,1377,ὅτι,ὅτι2,2
24,1496,ὅτι,ὅτι2,2
25,1582,ὅτι,ὅτι2,2
26,1665,ὅτι,ὅτι2,2
27,1794,ὅτι,ὅτι2,2
28,1822,ὅτι,ὅτι2,2
29,1835,δέομαι,δέω2,2
30,1984,πιστοὶ,πιστός2,2
31,2000,ὅτι,ὅτι2,2
32,2032,ὃν,ὅς2,2
33,2448,ἀπορεῖν,ἀπορέω2,2
34,2493,ᾧ,ὅς2,2
35,2544,ὅτι,ὅτι2,2
36,2571,ἧς,ὅς2,2
37,2592,ὅτι,ὅτι2,2
38,2625,ὧν,ὅς2,2
39,2673,ὃν,ὅς2,2
40,2759,ὧν,ὅς2,2
41,2783,ὃν,ὅς2,2
42,2967,συνόδων,σύνοδος2,2
43,3045,ἐδεῖτό,δέω2,2
44,3080,ἐδεῖτο,δέω2,2
45,3140,ἣν,ὅς2,2
46,3278,ἧς,ὅς2,2
47,3314,ἐδεῖτο,δέω2,2
48,3320,ὅτι,ὅτι2,2
49,3423,ἀπορῶν,ἀπορέω2,2
50,3579,ἣν,ὅς2,2
51,3661,ὅτι,ὅτι2,2
52,3807,ὅτι,ὅτι2,2
53,3999,ὧν,ὅς2,2
54,4045,ὅτι,ὅτι2,2
55,4087,ὅτι,ὅτι2,2
56,4094,ὅτι,ὅτι2,2
57,4097,χρωμένων,χράω2,2
58,4194,ᾧ,ὅς2,2
59,4275,ἐδεήθην,δέω2,2
60,4448,ὧν,ὅς2,2
61,4467,ὅτι,ὅτι2,2
62,4543,ὧν,ὅς2,2
63,4594,χρώμενον,χράω2,2
64,4599,ὧν,ὅς2,2
65,4644,ὅτι,ὅτι2,2
66,4649,χρώμενος,χράω2,2
67,4669,ᾗ,ὅς2,2
68,4732,ἀπιὼν,ἄπειμι2,2
69,4770,ὅτι,ὅτι2,2
70,4843,ὧν,ὅς2,2
71,5026,ᾧ,ὅς2,2
72,5034,χρώμενος,χράω2,2
73,5062,ὧν,ὅς2,2
74,5162,ὃν,ὅς2,2
75,5234,ὧν,ὅς2,2
76,5282,ὅτι,ὅτι2,2
77,5323,ἃ,ὅς2,2
78,5389,ὅτι,ὅτι2,2
79,5468,ἃ,ὅς2,2
80,5511,ὅτι,ὅτι2,2
81,5531,ὧν,ὅς2,2
82,5570,δέομαι,δέω2,2
83,5651,ὧν,ὅς2,2
84,5676,δέομαι,δέω2,2
85,5712,ὅτι,ὅτι2,2
86,5749,ὧν,ὅς2,2
87,5828,ὅτι,ὅτι2,2
88,5882,ὧν,ὅς2,2
89,6073,ὧν,ὅς2,2
90,6162,ὧν,ὅς2,2
91,6212,δέον,δέω2,2
92,6247,ὅτι,ὅτι2,2
93,6250,ὧν,ὅς2,2
94,6293,οὓς,ὅς2,2
95,6508,ὧν,ὅς2,2
96,6545,δεῖ,δέω2,2
97,6722,ὅτι,ὅτι2,2
98,6767,ἥν,ὅς2,2
99,7062,ᾗ,ὅς2,2
100,7066,ἧς,ὅς2,2
101,7070,ἣν,ὅς2,2
102,7120,ἐδεήθη,δέω2,2
103,7202,ἧς,ὅς2,2
104,7243,ὧν,ὅς2,2
105,7293,ὧν,ὅς2,2
106,7327,πιστὰ,πιστός2,2
107,7343,ὅτι,ὅτι2,2
108,7416,ὧν,ὅς2,2
109,7461,ὅτι,ὅτι2,2
110,7640,δεομένους,δέω2,2
111,7698,ὃν,ὅς2,2
112,7801,δεομένοις,δέω2,2
113,7980,χρῆσθαι,χράω2,2
114,8001,δεομένοις,δέω2,2
115,8096,ἃ,ὅς2,2
116,8122,ὅτι,ὅτι2,2
117,8190,ἀργὸν,ἀργός2,2
118,8224,οἷς,ὅς2,2
119,8241,ὅτι,ὅτι2,2
120,8256,συνόδους,σύνοδος2,2
121,8365,οἷς,ὅς2,2
122,8470,ὧν,ὅς2,2
123,8482,ὅτι,ὅτι2,2
124,8598,πιστότατον,πιστός2,2
125,8605,χρωμένους,χράω2,2
126,8695,ἀπορῶν,ἀπορέω2,2
127,8790,ὅτι,ὅτι2,2
128,9007,ὧν,ὅς2,2
129,9020,ὅτι,ὅτι2,2
130,9064,ὧν,ὅς2,2
131,9182,ἐδεήθη,δέω2,2
132,9318,ὧν,ὅς2,2
133,9330,ἧς,ὅς2,2
134,9565,ὅν,ὅς2,2
135,9700,ὃν,ὅς2,2
136,9820,ὅτι,ὅτι2,2
137,9972,ὅτι,ὅτι2,2
138,9996,ὅτι,ὅτι2,2
139,10040,ὅτι,ὅτι2,2
140,10053,ὧν,ὅς2,2
141,10207,ὧν,ὅς2,2
142,10271,ὅτι,ὅτι2,2
143,10300,ὅτι,ὅτι2,2
144,10432,χρώμενοι,χράω2,2
145,10490,χρώμενοι,χράω2,2
146,10558,ὕπεισι,ὕπειμι2,2
147,10941,ἣν,ὅς2,2
148,11159,ὅτι,ὅτι2,2
149,11250,παρόδου,πάροδος2,2
150,11390,ὅτι,ὅτι2,2
151,11482,ὅτι,ὅτι2,2
152,11652,δεῖ,δέω2,2
153,11656,ἃ,ὅς2,2
154,11837,ὅτι,ὅτι2,2
155,11931,ὅτι,ὅτι2,2
156,12013,ὧν,ὅς2,2
157,12181,ἣν,ὅς2,2
158,12231,ὧν,ὅς2,2
159,12405,ἣν,ὅς2,2
160,12519,πιστοτάτους,πιστός2,2
161,12679,ὧν,ὅς2,2
162,12722,ὅτι,ὅτι2,2
163,12790,ᾗ,ὅς2,2
164,12895,οὓς,ὅς2,2
165,12964,ὅτι,ὅτι2,2
166,13089,χρῆσθαι,χράω2,2
167,13103,ἃ,ὅς2,2
168,13130,κύριος,κύριος2,2
169,13189,ὧν,ὅς2,2
170,13208,ὅτι,ὅτι2,2
