,line,token,lemma,error_type
0,25,ὅτι,ὅτι2,2
1,189,δεησόμεθα,δέω2,2
2,345,ὧν,ὅς2,2
3,450,δεομένῳ,δέω2,2
4,505,ἃ,ὅς2,2
5,507,ὅτι,ὅτι2,2
6,525,ὅτι,ὅτι2,2
7,619,ἀπῄει,ἄπειμι2,2
8,661,ᾧ,ὅς2,2
9,909,ᾧ,ὅς2,2
10,984,δεομένων,δέω2,2
11,1042,χρωμένους,χράω2,2
12,1116,παριόντος,πάρειμι2,2
13,1428,χρώμενον,χράω2,2
14,1453,χρώμενος,χράω2,2
15,1497,ᾧ,ὅς2,2
16,1515,ὅτι,ὅτι2,2
17,1541,περιϊὼν,περίειμι2,2
18,1565,δεομένη,δέω2,2
19,1655,ἣν,ὅς2,2
20,1759,παριόντας,πάρειμι2,2
21,1974,οἷς,ὅς2,2
22,1981,ἔθυσε,θύω2,2
23,2033,οἷς,ὅς2,2
24,2081,θύσαντες,θύω2,2
25,2101,ὃν,ὅς2,2
26,2488,ἔθυον,θύω2,2
27,2494,συνιόντες,σύνειμι2,2
28,2539,θύσειν,θύω2,2
29,2574,ὅτι,ὅτι2,2
30,2633,δεηθέντες,δέω2,2
31,2715,ὅτι,ὅτι2,2
32,2979,οἷς,ὅς2,2
33,2996,ὅτι,ὅτι2,2
34,3068,δεόμενος,δέω2,2
35,3384,θύοντι,θύω2,2
36,3599,ὅτι,ὅτι2,2
37,3673,οὓς,ὅς2,2
38,3852,ἐρῶντος,ἐράω2,2
39,3907,ὧν,ὅς2,2
40,3925,ἃ,ὅς2,2
41,4045,θύειν,θύω2,2
42,4090,ᾧ,ὅς2,2
43,4111,ὧν,ὅς2,2
44,4145,ἧς,ὅς2,2
45,4195,θύσας,θύω2,2
46,4211,ἣν,ὅς2,2
47,4223,περιόδων,περίοδος2,2
48,4300,ᾧ,ὅς2,2
49,4325,ἔθυε,θύω2,2
50,4453,ὧν,ὅς2,2
51,4596,ᾧ,ὅς2,2
52,4779,ὅτι,ὅτι2,2
53,4911,ἐπιὼν,ἔπειμι2,2
54,5017,ἔθυσε,θύω2,2
55,5028,ἣν,ὅς2,2
56,5031,θύουσι,θύω2,2
57,5210,ὅτι,ὅτι2,2
58,5301,ὧν,ὅς2,2
59,5484,ὧν,ὅς2,2
60,5605,ἐρῶντα,ἐράω2,2
61,5720,ἣν,ὅς2,2
62,5911,θύουσιν,θύω2,2
63,6184,ὧν,ὅς2,2
64,6224,ἣν,ὅς2,2
65,6402,ὧν,ὅς2,2
66,6456,δεηθέντα,δέω2,2
67,6519,ὅτι,ὅτι2,2
68,6565,οἷς,ὅς2,2
69,6659,ἣν,ὅς2,2
70,6693,ἐδεήθη,δέω2,2
71,6837,δεομένῳ,δέω2,2
72,6861,ὥραν,ὥρα2,2
73,6991,ὥραν,ὥρα2,2
74,7148,χρῆσθαι,χράω2,2
75,7246,ᾧ,ὅς2,2
76,7356,οὗ,ὅς2,2
77,7553,ἄνω,ἄνω2,2
78,7611,ὃν,ὅς2,2
79,7704,ἃ,ὅς2,2
80,7806,οὓς,ὅς2,2
81,8218,ᾗ,ὅς2,2
82,8300,ὃν,ὅς2,2
83,8368,ὅτι,ὅτι2,2
84,8425,ὧν,ὅς2,2
85,8443,δεῖ,δέω2,2
86,8447,ὅτι,ὅτι2,2
87,8459,ὥρᾳ,ὥρα2,2
88,8520,οἷς,ὅς2,2
89,8695,ἐπῄει,ἔπειμι2,2
90,8712,παρόδῳ,πάροδος2,2
91,8832,χρωμένῳ,χράω2,2
92,8882,ὧν,ὅς2,2
93,8950,ὅτι,ὅτι2,2
94,9001,ὅτι,ὅτι2,2
95,9048,ὥρας,ὥρα2,2
96,9067,ἣν,ὅς2,2
97,9299,ἐρῶν,ἐράω2,2
98,9396,ἃ,ὅς2,2
99,9415,ἐχρῆτο,χράω2,2
100,9442,δεόμενον,δέω2,2
101,9581,ἐδέοντο,δέω2,2
102,9680,ἐρώμενον,ἐράω2,2
103,9749,ὥραν,ὥρα2,2
104,9910,ἀπιὼν,ἄπειμι2,2
105,10256,ἀπιοῦσα,ἄπειμι2,2
106,10382,ὃν,ὅς2,2
107,10400,ὅτι,ὅτι2,2
